naziv_pu,opis_delovnega_mesta_z370opis,sifra_zaposlenega_z360,mesecev,placa,polozajni_dodatek,delovna_uspesnost,dodatno_delo,dezurstvo,dodatek_mentorstvo_c030bruto,dodatek_mag_dr_c040bruto,dodatek_dvojezicnost_c050bruto,dodatek_dvojezicnost_c051bruto,dodatek_dvojezicnost_c052bruto,dodatek_ionizirajoce_sevanje_c060bruto,dodatek_citostatiki_c061bruto,dodatek_kuzni_odpadki_c062bruto,dodatek_nevarnost_c070bruto,dodatek_izmensko_delo_c080bruto,dodatek_deljeni_del_cas_c090bruto,dodatek_delo_ponoci_c100bruto,dodatek_delo_v_nedeljo_c110bruto,dodatek_dela_prost_dan_c111bruto,dodatek_dela_prost_dan_c112bruto,dodatek_delo_prek_polnega_casa_c120bruto,dodatek_stalna_pripravljenost_c130bruto,dodatek_pripravljenost_na_domu_c140bruto,dodatek_za_stalnost_c150bruto,dodatek_povecan_obseg_dela_c160bruto,dodatek_povecan_obseg_dela_c170bruto,dodatek_posebne_obremenitve_c180bruto,dodatek_neenakomerno_razporejen_delovni_cas_c190bruto,dodatek_neenakomerno_razporejen_delovni_cas_c191bruto,dodatek_specialna_enota_c200bruto,dodatek_specialna_enota_c201bruto,dodatek_za_potapljanje_c202bruto,dodatek_za_potapljanje_intervencija_c203bruto,dodatek_poucevanje_3_predmetov_c204bruto,dodatek_razrednistvo_c205bruto,dodatek_razrednistvo_c206bruto,dodatek_vrtci_c207bruto,dodatek_vrtci_c208bruto,dodatek_bolnisnicni_oddelek_c209bruto,dodatek_prilagojeni_program_c210bruto,dodatek_prilagojeni_program_c211bruto,dodatek_prilagojeni_program_c212bruto,dodatek_prilagojeni_program_c213bruto,dodatek_prilagojeni_program_c214bruto,dodatek_delo_z_osebami_z_motnjo_c215bruto,dodatek_delo_z_osebami_z_motnjo_c216bruto,dodatek_delo_z_osebami_z_motnjo_c217bruto,dodatek_delo_z_osebami_z_motnjo_c218bruto,dodatek_visina_2_4_m_c219bruto,dodatek_visina_4_20_m_c220bruto,dodatek_visina_nad_20_m_c221bruto,dodatek_globina_c222bruto,dodatek_tvegane_razmere_c223bruto,dodatek_helikopter_c224bruto,dodatek_delo_z_osebami_z_motnjo_nadzor_c225bruto,dodatek_ogled_kd_c300bruto,dodatek_omejitev_pravice_do_stavke_c320bruto,dodatek_za_dosegljivost_c321bruto,dodatek_premestljive_sile_c322bruto,dodatek_odzivne_sile_c323bruto,dodatek_usposabljanje_c324bruto,dodatek_mobilnost_c390bruto,dodatek_izgradnja_kariere_c400bruto,dodatek_poracun_c900bruto,sifra_pu,skupina_dm,sifra_delovnega_mesta_z370,leto_obdobja
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,7785407774092329822,11,29459.12,0,4028.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,16420,B,B017400,2010
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,8394292825489604017,11,29734.65,0,2346.4,0,0,0,590.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,16420,B,B017400,2010
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,9995635390280052520,10,32021.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16420,B,B017400,2010
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,12435449330935492093,1,5.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,16420,B,B017400,2010
AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV,POMOČNIK DIREKTORJA,16298432121946750949,11,28693.53,0,3984.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,16420,B,B017400,2010
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,NAMESTNIK DIREKTORJA/ČLAN UPRAVE,2095335785523569653,2,8039.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017890,2010
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,NAMESTNIK DIREKTORJA/ČLAN UPRAVE,13178511056935831676,1,3832.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017890,2010
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,65175418261418697,1,3307.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2010
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,4030677453192886244,1,3307.66,0,0,0,0,0,65.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2010
AGENCIJA ZA UPRAVLJANJE KAPITALSKIH NALOŽB REPUBLIKE SLOVENIJE,POMOČNIK DIREKTORJA,7530704012090691530,1,3150.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13161,B,B017400,2010
